Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
VERBUND 0,9%Green+Sust.N.21-41;67.940;+0.34%+0.230;03/08/202417:30:06;XS2320746394;-;67.160100,000;68.430100,000;04/01/2041;C
voestalpine 1,75% Anl.19-26/S1;96.030;+0.08%+0.080;03/08/202417:30:05;AT0000A27LQ1;-;95.540100,000;96.45047,500;04/10/2026;C
HVbg 1,02% SV 20-35/DIP S183;70.300;+0.57%+0.400;03/08/202416:27:51;XS2104132514;-;70.3001,000,000;72.300-;01/17/2035;q
HVbg 0,23% Notes 21-29/S.219;81.500;+0.43%+0.350;03/08/202416:27:51;XS2327980509;-;81.4501,000,000;83.450-;04/06/2029;q
HVbg 0,375% Notes 20-30/S.212;77.400;+0.58%+0.450;03/08/202416:27:51;XS2252219105;-;77.3001,000,000;79.300-;11/04/2030;q
HVbg 0,02% Notes 20-24/S.208;95.950;0.00%0.000;03/08/202416:27:51;XS2240271846;-;96.0001,000,000;98.000-;10/01/2024;q
HVbg 1,8% CZKGreenBd 20-25/186;94.700;0.00%0.000;03/08/202416:27:51;XS2126053953;-;94.7003,000,000;96.700-;03/05/2025;q
HVbg 0,86% Anl. 19-34/S.179;70.650;+0.57%+0.400;03/08/202416:27:51;XS2069329964;-;70.6501,000,000;72.650-;10/24/2034;q
HypoVbg 0,36% IHS 20-26/S.182;91.900;+0.16%+0.150;03/08/202416:27:51;XS2100387526;-;91.9001,000,000;93.900-;01/09/2026;q
HVbg var-SV 19-29/S.170;93.400;+0.11%+0.100;03/08/202416:27:50;XS2002726847;-;93.4001,000,000;95.400-;05/27/2029;q
HVbg Fix/Swap-li-FRN 18-28/158;88.950;+0.28%+0.250;03/08/202416:27:50;XS1859330752;-;88.950100,000;91.950-;07/24/2028;q
HVbg 3,25% Anleihe 24-27/S.269;99.070;0.00%0.000;03/08/202416:27:50;AT0000A39K87;-;99.0701,000,000;100.070-;01/15/2027;q
HVbg var SV 19-29/S.175;94.500;0.00%0.000;03/08/202416:27:50;XS2037749749;-;94.5001,000,000;96.500-;08/07/2029;q
HVbg 0,741% Anl.19-36/S.178;64.800;+0.70%+0.450;03/08/202416:27:50;XS2066563524;-;64.7501,000,000;66.750-;10/16/2036;q
