Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
Hypo-WBB St.Zi.WA NOE19-31/5S2;87.640;+0.67%+0.580;03/08/202412:01:37;AT0000A25YS4;-;--;--;07/23/2031;D
HWBB 4,00% WB-WA 23-34/12 NOE;101.990;+0.72%+0.730;03/08/202412:01:37;AT0000A372V1;-;--;--;04/11/2034;D
HYPO NOE 3,8% SV 23-26/03;98.160;+0.23%+0.230;03/08/202412:01:37;AT0000A35A00;-;--;--;06/09/2026;D
Hypo-WBB WA NOE. 15-28/20;93.940;+0.25%+0.230;03/08/202412:01:37;AT0000A1HQ72;-;--;--;12/18/2028;D
1,65% Hypo-WBB WA NOE19-31/4S1;85.050;+0.65%+0.550;03/08/202412:01:37;AT0000A25YR6;-;--;--;07/23/2031;D
Hypo-WBB WA NOE. 15-30/19;89.050;+0.56%+0.500;03/08/202412:01:36;AT0000A1HQ64;-;--;--;12/17/2030;D
Hypo-WBB WA NOE. 12-27/2;95.230;+0.27%+0.260;03/08/202412:01:36;AT0000A0V453;-;--;--;04/04/2027;D
Hypo-WBB WA NOE. 14-26/9;97.180;+0.06%+0.060;03/08/202412:01:36;AT0000A15VT9;-;--;--;03/12/2026;D
Hypo-WBB WA NOE. 13-25/16;98.920;+0.01%+0.010;03/08/202412:01:36;AT0000A0ZK85;-;--;--;03/05/2025;D
Hypo-WBB WA NOE. 15-27/7;96.480;+0.16%+0.150;03/08/202412:01:36;AT0000A1CBD6;-;--;--;01/21/2027;D
Hypo-WBB WA NOE. 15-30/6;88.200;+0.56%+0.490;03/08/202412:01:36;AT0000A1CBC8;-;--;--;01/21/2030;D
Hypo-WBB WA NOE. 13-25/15;97.130;+0.06%+0.060;03/08/202412:01:36;AT0000A0ZK77;-;--;--;03/05/2025;D
Hypo-WBB WA NOE. 14-29/8;92.590;+0.35%+0.320;03/08/202412:01:36;AT0000A15VS1;-;--;--;03/12/2029;D
Hypo-WBB WA NOE. 12-27/1;98.910;+0.31%+0.310;03/08/202412:01:35;AT0000A0V446;-;--;--;04/04/2027;D
var. Hypo-WBB WA NOe 05-26/28;95.040;+0.12%+0.110;03/08/202412:01:35;AT0000491188;-;--;--;01/01/2026;D
Hypo-WBB WA NOE. 11-26/15;98.220;+0.19%+0.190;03/08/202412:01:35;AT0000A0MQY1;-;--;--;04/01/2026;D
WEB Windenergie 4,5% Anl.23-33;95.000;-5.00%-5.000;03/07/202414:15:51;AT0WEB2310A6;6,000;--;--;04/19/2033;D
