Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HypoVbg 0,36% IHS 20-26/S.182;91.550;0.00%0.000;02/28/202417:02:11;XS2100387526;-;91.5501,000,000;93.550-;01/09/2026;q
HVbg Fix/Swap-li-FRN 18-28/159;89.700;0.00%0.000;02/28/202417:02:11;XS1877653581;-;89.700100,000;92.700-;09/13/2028;q
HVbg 0,86% Anl. 19-34/S.179;68.800;+0.15%+0.100;02/28/202417:02:11;XS2069329964;-;68.9001,000,000;70.900-;10/24/2034;q
HVbg Fix/Swap-li-FRN 18-28/161;90.400;0.00%0.000;02/28/202417:02:11;XS1892228401;-;90.400100,000;93.400-;10/11/2028;q
HVbg 0,86% Anl. 19-34/S.179;68.800;+0.15%+0.100;02/28/202417:02:11;XS2069329964;-;68.9001,000,000;70.900-;10/24/2034;q
HypoVbg 0,36% IHS 20-26/S.182;91.550;0.00%0.000;02/28/202417:02:11;XS2100387526;-;91.5501,000,000;93.550-;01/09/2026;q
HVbg Fix/Swap-li-FRN 18-28/159;89.700;0.00%0.000;02/28/202417:02:11;XS1877653581;-;89.700100,000;92.700-;09/13/2028;q
HVbg var-SV 19-29/S.170;93.150;0.00%0.000;02/28/202417:02:11;XS2002726847;-;93.1501,000,000;95.150-;05/27/2029;q
HVbg 1,02% SV 20-35/DIP S183;68.450;+0.15%+0.100;02/28/202417:02:11;XS2104132514;-;68.5501,000,000;70.550-;01/17/2035;q
HVbg Fix/Swap-li-FRN 18-28/158;88.550;0.00%0.000;02/28/202417:02:11;XS1859330752;-;88.550100,000;91.550-;07/24/2028;q
HVbg var SV 19-29/S.175;94.500;0.00%0.000;02/28/202417:02:11;XS2037749749;-;94.5001,000,000;96.500-;08/07/2029;q
HVbg 3,70% Anleihe 23-28/S.265;99.100;0.00%0.000;02/28/202417:02:10;AT0000A36X77;-;102.0004,000;100.600-;09/11/2028;q
HVbg 3,8%GreenBond23-26/S.267;99.650;-0.05%-0.050;02/28/202417:02:10;AT0000A38JB4;-;99.6501,000,000;100.650-;06/18/2026;q
HWBB 3,50% WB-WA 24-34/4 VBG;97.150;+0.05%+0.050;02/28/202417:02:10;AT0000A3A1Y9;-;97.3001,000,000;99.300-;02/21/2034;q
HWBB 4,00% WB-WA 23-33/13, VBG;102.800;+0.05%+0.050;02/28/202417:02:10;AT0000A373X5;-;-8,000;104.900-;10/18/2033;q
HypVbg 3,7% KMU Anl.23-28/S266;100.100;0.00%0.000;02/28/202417:02:10;AT0000A381H1;-;100.1501,000,000;101.6506,000;01/25/2028;q
HVbg 3,70% Anleihe 23-26/S.264;99.150;-0.05%-0.050;02/28/202417:02:10;AT0000A36X69;-;99.1501,000,000;100.150-;09/11/2026;q
HWBB 4 % WB-WA 23-33/17 VBG;102.900;+0.05%+0.050;02/28/202417:02:10;AT0000A37UU3;-;103.0501,000,000;105.050-;11/15/2033;q
HVbg 3,25% Anleihe 24-29/S.270;98.500;0.00%0.000;02/28/202417:02:10;AT0000A39K95;-;101.0003,000;100.000-;01/15/2029;q
HWBB 3,90% WB-WA 23-33/6 VBG;101.150;+0.05%+0.050;02/28/202417:02:10;AT0000A359Q8;-;102.10010,000;103.250-;07/12/2033;q
HVbg 3,25% Anleihe 24-27/S.269;99.070;0.00%0.000;02/28/202417:02:10;AT0000A39K87;-;99.0701,000,000;100.070-;01/15/2027;q
HWBB 4,00% WB-WA 23-33/18 VBG;102.850;+0.05%+0.050;02/28/202417:02:10;AT0000A38J81;-;103.0001,000,000;105.000-;12/22/2033;q
HVbg 3,5% KMUAnl.22-27/S.249;99.350;-0.05%-0.050;02/28/202417:02:09;AT0000A31LF6;-;99.4001,000,000;100.400-;02/25/2027;q
HVbg 3 % Anl. 22-30/DIP S.240;93.250;0.00%0.000;02/28/202417:02:09;AT0000A2YXL5;-;93.350100,000;95.350-;07/19/2030;q
HVbg 3,75% Anl 23-25/DIP S.258;98.750;0.00%0.000;02/28/202417:02:09;AT0000A32T77;-;98.7501,000,000;99.750-;03/27/2025;q
HVbg MinMax-Anl.22-27-II/S244;96.300;0.00%0.000;02/28/202417:02:09;AT0000A30350;-;96.3001,000,000;97.800-;10/06/2027;q
HVbg 2,25% Anl.22-25/DIP S.241;96.400;0.00%0.000;02/28/202417:02:09;AT0000A2Z922;-;96.4001,000,000;97.400-;09/16/2025;q
HVbg 3,5%KMU22-27 II/DIP S.251;99.250;-0.05%-0.050;02/28/202417:02:09;AT0000A32182;-;99.3001,000,000;100.300-;01/27/2027;q
HVbg 3,75% Anl 23-25 II/S.260;98.950;0.00%0.000;02/28/202417:02:09;AT0000A34816;-;98.9501,000,000;99.9503,000;06/02/2025;q
HVbg 4,75%NR SV 22-32/DIP S252;91.200;+0.05%+0.050;02/28/202417:02:09;AT0000A321S4;-;-2,000;94.300-;12/20/2032;q
HVbg Green Bond 23-28/S.253;98.650;0.00%0.000;02/28/202417:02:09;AT0000A325P1;-;98.6501,000,000;100.150-;02/07/2028;q
HVbg 2,125% Anl. 22-26/S.243;95.500;-0.05%-0.050;02/28/202417:02:09;AT0000A30368;-;95.5501,000,000;96.5507,000;10/06/2026;q
HVbg 3,75%  Anl 23-27/S.261;99.350;0.00%0.000;02/28/202417:02:09;AT0000A34824;-;99.3501,000,000;100.850-;10/05/2027;q
HVbg 0,09% kuendb. Anl. 19-24;95.650;0.00%0.000;02/28/202417:02:08;AT0000A2B6T8;-;95.6501,000,000;97.650-;11/20/2024;q
HVbg 1,875% Green 22-27/S.236;95.400;0.00%0.000;02/28/202417:02:08;AT0000A2XMH8;-;95.4001,000,000;96.9004,000;06/30/2027;q
HVbg-Nachh.-Expr.-Zert.19-25;92.650;0.00%0.000;02/28/202417:02:08;AT0000A27661;-;92.650100,000;93.6505,000;06/03/2025;q
HVbg EUROPA-Div-Gar.19-25;92.700;0.00%0.000;02/28/202417:02:08;AT0000A267U5;-;92.700100,000;93.700-;03/27/2025;q
HWBB MiniMax WA19-30/7 Vbg;91.250;0.00%0.000;02/28/202417:02:08;AT0000A26812;-;91.3001,000,000;93.300-;05/02/2030;q
HVbg 0,67 % Anl. 19-26/S.171;90.900;0.00%0.000;02/28/202417:02:08;AT0000A28CN5;-;90.9001,000,000;92.900-;06/03/2026;q
HVbg MiniMax-Anl. 22-27/S.237;96.000;0.00%0.000;02/28/202417:02:08;AT0000A2YBF3;-;96.0501,000,000;97.550-;06/30/2027;q
HWBB MinMax-WA19-30/12/Vbg/5;90.250;0.00%0.000;02/28/202417:02:08;AT0000A28Z42;-;90.3001,000,000;92.300-;11/04/2030;q
HVbg 0,39% Anleihe 20-27/S.201;87.300;0.00%0.000;02/28/202417:02:08;AT0000A2HTS3;-;87.3501,000,000;89.350-;08/05/2027;q
HVbg Min-Max Fltr.19-26;94.200;0.00%0.000;02/28/202417:02:08;AT0000A288B1;-;94.2001,000,000;96.200-;06/05/2026;q
HWBB MinMax-WA 19-30/11/Vbg/4;90.500;0.00%0.000;02/28/202417:02:08;AT0000A28FL2;-;90.5501,000,000;92.550-;09/11/2030;q
HWBB Stz-WA.19-30/9 Vbg;83.900;0.00%0.000;02/28/202417:02:08;AT0000A27ZM0;-;83.9501,000,000;85.950-;07/02/2030;q
HYPO-WOHN.WANDEL 17-28/6;91.950;-0.05%-0.050;02/28/202417:02:07;AT0000A1TMZ0;-;92.0001,000,000;93.500-;02/21/2028;q
