Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HVbg 3,75% Anl 23-25 II/S.260;99.000;-0.05%-0.050;03/11/202417:01:35;AT0000A34816;-;99.0001,000,000;100.0003,000;06/02/2025;q
HVbg 4,75%NR SV 22-32/DIP S252;92.600;-0.32%-0.300;03/11/202417:01:35;AT0000A321S4;-;94.50050,000;95.650-;12/20/2032;q
HVbg 3,75% Anl 23-25 II/S.260;99.000;-0.05%-0.050;03/11/202417:01:35;AT0000A34816;-;99.0001,000,000;100.0003,000;06/02/2025;q
HVbg 4,75%NR SV 22-32/DIP S252;92.600;-0.32%-0.300;03/11/202417:01:35;AT0000A321S4;-;94.50050,000;95.650-;12/20/2032;q
HVbg Green Bond 23-28/S.253;98.950;-0.10%-0.100;03/11/202417:01:35;AT0000A325P1;-;98.9501,000,000;100.450-;02/07/2028;q
HWBB 3,90% WB-WA 23-33/6 VBG;102.600;-0.34%-0.350;03/11/202417:01:35;AT0000A359Q8;-;103.25030,000;104.700-;07/12/2033;q
HVbg 3,75%  Anl 23-27/S.261;99.850;-0.20%-0.200;03/11/202417:01:35;AT0000A34824;-;99.8501,000,000;101.35020,000;10/05/2027;q
HVbg 1,875% Green 22-27/S.236;95.550;-0.05%-0.050;03/11/202417:01:34;AT0000A2XMH8;-;95.5501,000,000;97.0504,000;06/30/2027;q
HVbg 3,5% KMUAnl.22-27/S.249;99.750;-0.15%-0.150;03/11/202417:01:34;AT0000A31LF6;-;99.8001,000,000;100.800-;02/25/2027;q
HVbg 3 % Anl. 22-30/DIP S.240;94.300;-0.26%-0.250;03/11/202417:01:34;AT0000A2YXL5;-;94.300100,000;96.300-;07/19/2030;q
HVbg MinMax-Anl.22-27-II/S244;96.500;-0.10%-0.100;03/11/202417:01:34;AT0000A30350;-;96.5501,000,000;98.050-;10/06/2027;q
HVbg 2,25% Anl.22-25/DIP S.241;96.600;-0.05%-0.050;03/11/202417:01:34;AT0000A2Z922;-;96.6001,000,000;97.600-;09/16/2025;q
HVbg MiniMax-Anl. 22-27/S.237;96.150;-0.05%-0.050;03/11/202417:01:34;AT0000A2YBF3;-;96.2001,000,000;97.700-;06/30/2027;q
HVbg 3,5%KMU22-27 II/DIP S.251;99.650;-0.15%-0.150;03/11/202417:01:34;AT0000A32182;-;99.6501,000,000;100.650-;01/27/2027;q
HVbg 0,39% Anleihe 20-27/S.201;87.900;-0.11%-0.100;03/11/202417:01:34;AT0000A2HTS3;-;87.9001,000,000;89.900-;08/05/2027;q
HVbg 2,125% Anl. 22-26/S.243;95.900;-0.10%-0.100;03/11/202417:01:34;AT0000A30368;-;95.9001,000,000;96.9001,000;10/06/2026;q
HVbg-Nachh.-Expr.-Zert.19-25;93.100;-0.27%-0.250;03/11/202417:01:33;AT0000A27661;-;93.200100,000;94.2005,000;06/03/2025;q
HVbg 0,67 % Anl. 19-26/S.171;91.250;-0.11%-0.100;03/11/202417:01:33;AT0000A28CN5;-;91.2501,000,000;93.250-;06/03/2026;q
HWBB MinMax-WA19-30/12/Vbg/5;90.550;-0.06%-0.050;03/11/202417:01:33;AT0000A28Z42;-;90.6001,000,000;92.600-;11/04/2030;q
HVbg Min-Max Fltr.19-26;94.750;-0.05%-0.050;03/11/202417:01:33;AT0000A288B1;-;94.7501,000,000;96.750-;06/05/2026;q
HWBB Stz-WA.19-30/9 Vbg;84.900;-0.29%-0.250;03/11/202417:01:33;AT0000A27ZM0;40,000;84.9501,000,000;86.95040,000;07/02/2030;q
HVbg 0,09% kuendb. Anl. 19-24;95.800;+0.05%+0.050;03/11/202417:01:33;AT0000A2B6T8;-;95.8001,000,000;97.800-;11/20/2024;q
HypoVbg Stz-Anl.19-25;95.850;0.00%0.000;03/11/202417:01:32;AT0000A25J52;-;96.85015,000;96.850-;04/02/2025;q
HVbg EUROPA-Div-Gar.19-25;92.950;+0.11%+0.100;03/11/202417:01:32;AT0000A267U5;-;92.950100,000;93.950-;03/27/2025;q
HWBB MiniMax WA19-30/7 Vbg;91.550;-0.11%-0.100;03/11/202417:01:32;AT0000A26812;25,000;91.6001,000,000;93.60012,500;05/02/2030;q
HWBB MiniMax WA19-30/1 Vbg;91.650;-0.05%-0.050;03/11/202417:01:32;AT0000A25HY7;-;91.6501,000,000;93.650-;04/02/2030;q
HYPOVbgHYP-EUROP-DIV-GAR.17-25;92.200;0.00%0.000;03/11/202417:01:31;AT0000A1YXS2;-;92.200100,000;93.200-;12/05/2025;q
HWBB Stfz.-WA18-29/5 Vbg;89.450;-0.22%-0.200;03/11/202417:01:31;AT0000A1ZTW9;-;89.5001,000,000;91.500-;03/20/2029;q
HYPO VBG 6,125% AT1-Anl.18/S.2;77.450;-0.26%-0.200;03/11/202417:01:31;AT0000A20DC3;-;77.500-;79.500-;open-end;q
HYPOVbg 3,125% Nr SV 17-27;91.250;-0.16%-0.150;03/11/202417:01:31;AT0000A1YQ55;-;94.00043,000;94.250-;10/27/2027;q
HYPO-WOHN.WANDEL.17-28/9;94.750;-0.05%-0.050;03/11/202417:01:31;AT0000A1U842;-;94.7501,000,000;96.250-;03/27/2028;q
HYPO-WOHN.WANDEL.17-28/10;92.350;-0.16%-0.150;03/11/202417:01:31;AT0000A1UXM3;-;92.3501,000,000;93.850-;04/11/2028;q
HYPO-WOHN.WANDEL.16-27/17;93.750;-0.21%-0.200;03/11/202417:01:30;AT0000A1PN91;-;93.8001,000,000;95.300-;12/07/2027;q
